artist,song,year
Chuck Berry,Promised Land,1964
The Jimi Hendrix Experience,Purple Haze,1967
Elvis Presley,A Little Less Conversation,1968
Sly and the Family Stone,Everyday People,1968
B.J. Thomas,Hooked on a Feeling,1968
The Rolling Stones,Honky Tonk Women,1969
Led Zeppelin,Moby Dick,1969
Creedence Clearwater Revival,Born on the Bayou,1969
Mountain,Mississippi Queen,1970
James Gang,Funk #49,1970
Credence Clearwater Revival,I Heard It Through the Grapevine,1970
Dawn,Knock Three Times,1970
Sly and the Family Stone,Family Affair,1971
Santana,Oye Como Va,1971
Mott the Hoople,Sucker,1972
Can,One More Night,1972
Carly Simon,Youre So Vain,1972
Black Sabbath,Sabbra Cadabra,1973
Grand Funk Railroad,Were an American Band,1973
Dolly Parton,Jolene,1973
Grand Funk Railroad,We're an American Band,1973
Bachman-Turner Overdrive,You Aint Seen Nothing Yet,1974
Barry White,Cant Get Enough of Your Love Babe,1974
Deep Purple,You Fool No One,1974
Paper Lace,The Night Chicago Died,1974
The Ohio Players,Love Rollercoaster,1975
The Sylvers,Boogie Fever,1975
Bee Gees,Jive Talkin,1975
Queen,Bohemian Rhapsody,1975
Patti Smith,Gloria,1975
KC & The Sunshine Band,Get Down Tonight,1975
Nazareth,Hair of the Dog,1975
Eric Burdon and War,Low Rider,1975
Kiss,Calling Dr. Love,1976
Blue Oyster Cult,(Dont Fear) The Reaper,1976
Bee Gees,You Should Be Dancing,1976
Wild Cherry,Play That Funky Music,1976
Stevie Wonder,Sir Duke,1976
The Rolling Stones,Hot Stuff,1976
KC & The Sunshine Band,(Shake Shake Shake) Shake Your Booty,1976
Pink Floyd,Pigs (Three Different Ones),1977
Marvin Gaye,Got to Give It Up,1977
Donna Summer,I Feel Love,1977
Rush,Xanadu,1977
Rush,The Trees,1978
The B-52's,Rock Lobster,1978
Funkadelic,One Nation Under a Groove,1978
"Earth, Wind, and Fire",September,1978
Van Halen,Dance the Night Away,1979
"Lipps, Inc",Funky Town,1979
Chic,Good Times,1979
Sugar Hill Gang,Rappers Delight,1979
Pretenders,Brass in Pocket,1979
Talking Heads,Once in a Lifetime,1980
Blondie,The Tide is High,1980
Blondie,Rapture,1980
Van Halen,Dancing in the Street,1982
Roberta Flack,Im the One,1982
Toto,Africa,1982
Afrika Bambaataa and the Soulsonic Force,Planet Rock,1982
Witchfinder General,Music,1983
Def Leppard,Photograph,1983
Duran Duran,The Reflex,1983
Lionel Richie,All Night Long (All Night),1983
Yes,Owner of a Lonely Heart,1983
Pet Shop Boys,West End Girls,1984
"Ray Parker, Jr.",Ghostbusters,1984
Twisted Sister,We're Not Gonna Take It,1984
U2,The Unforgettable Fire,1984
Dead or Alive ,You Spin me Round (Like a Record),1985
Dire Straits,Money for Nothing,1985
Tears for Fears,Shout,1985
Janet Jackson,When I Think of You,1986
New Order,Bizarre Love Triangle,1986
Michael Jackson,Man in the Mirror,1987
Guns N' Roses,Sweet Child O Mine,1987
Def Leppard,Love Bites,1987
Guns n Roses,Night Train,1987
Guns N' Roses,Welcome to the Jungle,1987
Madonna,Whos That Girl,1987
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),1987
The Escape Club,Wild Wild West,1988
Iron Maiden,Can I Play with Madness,1988
New Kids on the Block,Hangin Tough,1988
The Beach Boys,Kokomo,1988
Billy Joel,We Didnt Start the Fire,1989
Janet Jackson,Black Cat,1989
Madonna,Justify My Love,1990
The Beloved,Hello,1990
Deee-Lite,Groove Is in the Heart,1990
Michael Jackson,Black or White,1991
Pearl Jam,Alive,1991
EMF,Unbelievable,1991
Prince & the New Power Generation,Cream,1991
Skid Row,Monkey Business,1991
Happy Mondays,Angel,1992
Rage Against the Machine,Killing in the Name,1992
Sir Mix-A-Lot,Baby Got Back,1992
Green Day,Basket Case,1994
Oasis,Roll with It,1995
Pantera,Drag the Waters,1996
Noise Therapy,Down,1997
Hanson,MMMBop,1997
Juvenile feat. Lil Wayne and Mannie Fresh,Back That Azz Up,1998
Cher,Believe,1998
Backstreet Boys,I Want It That Way,1999
"Santana, Featuring: Rob Thomas",Smooth,1999
Goldfrapp,Human,2000
Dixie Chicks,Goodbye Earl,2000
Clutch,Frankenstein,2001
Cake,Short Skirt/Long Jacket,2001
Missy Elliot,Work It,2002
Justin Timberlake,Señorita,2002
Amerie,Need You Tonight,2002
Sara Evans,Perfect,2003
Jay-Z,99 Problems,2003
Queens of the Stone Age,Little Sister,2004
Ozomatli,Saturday Night,2004
Bitter:Sweet,Heaven,2006
Red Hot Chili Peppers,Hump de Bump,2006
Wolfmother,Love Train,2006
Puddle of Mudd,Psycho,2007
Hot Knives,Lovin You,2011
Black 'N Blue,Monkey,2011
One Direction,Magic,2012
Cheyenne Marie Mize,Wishing Well,2012
Daft Punk feat. Pharrell Williams,Get Lucky,2013
Clutch,D.C. Sound Attack,2013
"Robin Thicke, Featuring: T.I. & Pharrell",Blurred Lines,2013
Taylor Swift,Shake It Off,2014
Fake Shark,Cheap Thrills,2017
